time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-05-24 09:08:02,37.1814893898558,128.1928220037,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1283.8896713338,0.328084,0,0,0,14,5,0,1283.8896713338,0,0,0,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
100,2023-05-24 09:08:02,37.1814894150275,128.192821982294,0,,,1283.8896713338,0.328084,0,0.0110933074416,0.0110933074416,14,5,0,1283.8896713338,0,0,0.0110933074416,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
200,2023-05-24 09:08:03,37.1814893602356,128.192822017813,0,,,1283.8896713338,0.328084,0,0.0115594491888,0.033592848844,14,5,0,1283.8896713338,0,0,0.0115594491888,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
300,2023-05-24 09:08:03,37.1814893779126,128.192822001274,0,,,1283.8896713338,0.328084,0,0.0044141405612,0.04163714044,14,5,0,1283.8896713338,0,0,0.0115594491888,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
400,2023-05-24 09:08:03,37.1814894973757,128.192822032109,0,,,1283.8896713338,0.328084,0,0.040088255876,0.08613517336,14,5,0,1283.8896713338,0,0,0.040088255876,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,"현재 경고 구역(공항)에 있음. 비행 시 주의해주세요"
500,2023-05-24 09:08:03,37.1814895240708,128.192822017216,0,,,1283.8896713338,0.328084,0,0.04912565774,0.096793638268,14,5,0,1283.8896713338,0,0,0.04912565774,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
600,2023-05-24 09:08:03,37.1814894683517,128.192822044074,0,,,1283.8896713338,0.328084,0,0.0309505587332,0.118570541852,14,5,0,1283.8896713338,0,0,0.04912565774,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
700,2023-05-24 09:08:03,37.1814894885648,128.192822032486,0,,,1283.8896713338,0.328084,0,0.03697342638,0.126677825576,15,5,0,1283.8896713338,0,0,0.04912565774,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,"Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 62. Setting new Maximum Flight Altitude to 150m (492 ft)"
800,2023-05-24 09:08:03,37.1814894430588,128.192822056462,0,,,1283.8896713338,0.328084,0,0.0247390427864,0.144684059748,15,5,0,1283.8896713338,0,0,0.04912565774,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
900,2023-05-24 09:08:03,37.1814894566959,128.192822048224,0,,,1283.8896713338,0.328084,0,0.0276081701748,0.150206041552,15,5,0,1283.8896713338,0,0,0.04912565774,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,41,Motors_Started,
